date,venue_code,venue_name,race_number,finish_position,boat_number,racer_id,racer_name,exhibition_time,start_timing,race_time
2024-01-01,24,大村,6,1,6,3780,魚　谷　　智　之,6.85,0.16,
2024-01-01,24,大村,6,4,5,4672,守　屋　　大　地,6.85,0.2,
2024-01-01,24,大村,7,4,2,3539,金　子　　順　一,6.85,0.26,2.00.2
2024-01-01,24,大村,7,4,3,3878,胡　本　　悟　志,6.88,0.26,2.02.4
2024-01-01,24,大村,7,2,4,3661,柳　瀬　　興　志,6.85,0.22,2.04.9
2024-01-01,24,大村,7,1,1,4226,村　田　　浩　司,6.84,0.21,2.07.4
2024-01-01,24,大村,7,4,6,5238,笹　木　　香　吾,6.83,0.21,
2024-01-01,24,大村,8,1,1,3976,内　田　　　　圭,6.88,0.18,1.49.9
2024-01-01,24,大村,8,4,4,4108,吉　村　　正　明,6.86,0.19,1.52.1
2024-01-01,24,大村,8,3,5,4179,広　次　　　　修,6.83,0.18,1.52.9
2024-01-01,24,大村,8,2,3,5101,表　　　　健　太,6.83,0.24,1.54.7
2024-01-01,24,大村,8,4,2,5032,谷　口　　知　優,6.84,0.17,
2024-01-01,24,大村,8,4,6,4041,小　林　　基　樹,6.86,0.26,
2024-01-01,24,大村,9,3,5,3854,吉　川　　元　浩,6.81,0.2,1.51.3
2024-01-01,24,大村,9,4,1,4475,末　永　　祐　輝,6.77,0.28,1.52.1
2024-01-01,24,大村,9,2,4,4234,野　相　　弘　司,6.89,0.24,1.53.6
2024-01-01,24,大村,9,4,2,3710,吉　永　　泰　弘,6.84,0.28,1.53.8
2024-01-01,24,大村,9,1,3,4343,村　岡　　　　賢,6.82,0.31,
2024-01-01,24,大村,9,4,6,5311,小　林　　京　平,6.86,0.31,
2024-01-01,24,大村,10,1,1,4239,竹　田　　辰　也,6.82,0.04,1.49.1
2024-01-01,24,大村,10,4,3,4237,大　峯　　　　豊,6.82,0.19,1.50.9
2024-01-01,24,大村,10,3,4,4950,高　岡　　竜　也,6.83,0.18,1.52.1
